!------------------------------------------------------------------------
!  File Name : FEX_IDX_FLAG.TXT
!
*  Description : Comment line must begin with a '*', or a '!' in
*      		 column one. Blank lines are allowed.
*
*  Purpose Of File : To be used in creating the limits database for FDQ.
*
*  Designer :    Quoc C Chung / STX April 24, 1989
*                Modified by H. Wang, STX, Dec. 18, 1990
*	Certified: 1991 Sept 27, Rick Shafer: 
!
!123456789012345678901234567890BBXXXBBX
!------------------------------------------------------------------------
! ITEM NAME			  IX  F
!------------------------------------------------------------------------
XCAL_Position_Side_A		 001  T
!
XCAL_Position_Side_B	         002  T
!
MP_Science_Mode_RH               003  T
!
Fake-it_RH                       004  T
!
MP_Adds/Group_RH		 005  T
!
MP_Sweeps/IFG_RH		 006  T
!
MTM-Speed-at-Transmit,RH         007  T
!
MTM-Length-at-Transmit,RH        008  T
!
Science-Gain,RH                  009  T
!
Bolo.Commanded-Bias,RH           010  T
!
Bolo.Voltage-Readout,RH          011  T
!
MP-Science-Mode,RL               012  T
!
Fake-it,RL                       013  T
!
MP-Adds/Group,RL                 014  T
!
MP-Sweeps/IFG,RL                 015  T
!
MTM-Speed-at-Transmit,RL         016  T
!
MTM-Length-at-Transmit,RL        017  T
!
Science-Gain,RL		         018  T
!
Bolo.Commanded-Bias,RL           019  T
!
Bolo.Voltage-Readout,RL	         020  T
!
MP-Science-Mode,LH	         021  T
!
Fake-it,LH			 022  T
!
MP-Adds/Group,LH           	 023  T
!
MP-Sweeps/IFG,LH                 024  T
!
MTM-Speed-at-Transmit,LH	 025  T
!
MTM-Length-at-Transmit,LH        026  T
!
Science-Gain,LH			 027  T
!
Bolo.Commanded-Bias,LH		 028  T
!
Bolo.Voltage-Readout,LH		 029  T
!
MP-Science-Mode,LL		 030  T
!
Fake-it,LL		         031  T
!
MP-Adds/Group,LL	         032  T
!
MP-Sweeps/IFG,LL	         033  T
!
MTM-Speed-at-Transmit,LL	 034  T
!
MTM-Length-at-Transmit,LL	 035  T
!
Science-Gain,LL			 036  T
!
Bolo.Commanded-Bias,LL		 037  T
!
Bolo.Voltage-Readout,LL		 038  T
!
GRT,Ext.Cal.,A-low		 039  T
!
GRT,Sky-Horn,A-low	         040  T
!
GRT,Ref.Horn,A-low		 041  T
!
GRT,Int.Cal.,A-low		 042  T
!
GRT,Dihedral,A-low		 043  T
!
GRT,Bolo.Assemb.RH,A-low	 044  T
!
GRT,Bolo.Assemb.RL,A-low	 045  T
!
GRT,Bolo.Assemb.LH,A-low	 046  T
!
GRT,Bolo.Assemb.LL,A-low	 047  T
!
GRT,Mirror-M1,A-low		 048  T
!
GRT,Cal.Resistor-1,A-low	 049  T
!
GRT,Cal.Resistor-2,A-low	 050  T
!
GRT,Cal.Resistor-3,A-low	 051  T
!
GRT,Cal.Resistor-4,A-low	 052  T
!
GRT,Fold.Flat-Mirror,A-low	 053  T
!
GRT,Collimator-C1,A-low		 054  T
!
GRT,Ext.Cal.,A-high		 055  T
!
GRT,Sky-Horn,A-high		 056  T
!
GRT,Ref.Horn,A-high		 057  T
!
GRT,Int.Cal.,A-high		 058  T
!
GRT,Dihedral,A-high		 059  T
!
GRT,Bolo.Assemb.RH,A-high	 060  T
!
GRT,Bolo.Assemb.RL,A-high	 061  T
!
GRT,Bolo.Assemb.LH,A-high	 062  T
!
GRT,Bolo.Assemb.LL,A-high	 063  T
!
GRT,Mirror-M1,A-high		 064  T
!
GRT,Cal-Resistor-1,A-high	 065  T
!
GRT,Cal-Resistor-2,A-high	 066  T
!
GRT,Cal-Resistor-3,A-high	 067  T
!
GRT,Cal-Resistor-4,A-high	 068  T
!
GRT,Fold.Flat-Mirror,A-high	 069  T
!
GRT,Collimator-C1,A-high	 070  T
!
GRT,Ext.Cal.,B-low		 071  T
!
GRT,Sky-Horn,B-low		 072  T
!
GRT,Ref.Horn,B-low		 073  T
!
GRT,Int.Cal.,B-low		 074  T
!
GRT,Dihedral,B-low     		 075  T
!
GRT,Bolo.Assemb.RH,B-low	 076  T
!
GRT,Bolo.Assemb.RL,B-low	 077  T
!
GRT,Bolo.Assemb.LH,B-low	 078  T
!
GRT,Bolo.Assemb.LL,B-low	 079  T
!
GRT,Mirror-M1,B-low		 080  T
!
GRT,Cal-Resistor-1,B-low	 081  T
!
GRT,Cal-Resistor-2,B-low	 082  T
!
GRT,Cal-Resistor-3,B-low	 083  T
!
GRT,Cal-Resistor-4,B-low	 084  T
!
GRT,Fold.Flat-Mirror,B-low	 085  T
!
GRT,Collimator-C1,B-low		 086  T
!
GRT,Ext.Cal.,B-high		 087  T
!
GRT,Sky-Horn,B-high		 088  T
!
GRT,Ref.Horn,B-high		 089  T
!
